city,datetime,temperature_C,humidity_%,pressure_hPa,wind_speed_mps,weather_description
Bengaluru,2026-09-10 18:00:00,26.28,68,1011,1.86,overcast clouds
Bengaluru,2026-09-10 21:00:00,27.22,65,1010,2.7,overcast clouds
Bengaluru,2026-09-11 00:00:00,27.51,70,1010,2.88,overcast clouds
Bengaluru,2026-09-11 03:00:00,26.16,64,1012,4.97,overcast clouds
Bengaluru,2026-09-11 06:00:00,28.69,43,1010,4.87,overcast clouds
Bengaluru,2026-09-11 09:00:00,28.77,32,1006,4.05,overcast clouds
Bengaluru,2026-09-11 12:00:00,30.85,33,1006,3.27,overcast clouds
Bengaluru,2026-09-11 15:00:00,25.28,59,1009,5.45,overcast clouds
Bengaluru,2026-09-11 18:00:00,24.34,67,1010,4.02,overcast clouds
Bengaluru,2026-09-11 21:00:00,23.28,69,1009,3.34,overcast clouds
Bengaluru,2026-09-12 00:00:00,21.59,82,1010,3.03,overcast clouds
Bengaluru,2026-09-12 03:00:00,23.86,70,1012,3.87,overcast clouds
Bengaluru,2026-09-12 06:00:00,28.69,48,1011,4.09,overcast clouds
Bengaluru,2026-09-12 09:00:00,31.26,35,1007,4.47,overcast clouds
Bengaluru,2026-09-12 12:00:00,30.73,33,1007,3.87,overcast clouds
Bengaluru,2026-09-12 15:00:00,27.07,44,1010,5.14,overcast clouds
Bengaluru,2026-09-12 18:00:00,23.29,68,1012,4.78,overcast clouds
Bengaluru,2026-09-12 21:00:00,21.75,74,1010,3.5,overcast clouds
Bengaluru,2026-09-13 00:00:00,20.48,76,1012,2.52,overcast clouds
Bengaluru,2026-09-13 03:00:00,23.23,63,1013,4.31,overcast clouds
Bengaluru,2026-09-13 06:00:00,27.95,40,1012,3.45,overcast clouds
Bengaluru,2026-09-13 09:00:00,31.19,30,1008,3.44,overcast clouds
Bengaluru,2026-09-13 12:00:00,30.78,29,1008,2.87,broken clouds
Bengaluru,2026-09-13 15:00:00,27.14,40,1011,4.66,broken clouds
Bengaluru,2026-09-13 18:00:00,24.85,63,1012,3.81,overcast clouds
Bengaluru,2026-09-13 21:00:00,23.29,71,1011,3.4,light rain
Bengaluru,2026-09-14 00:00:00,21.76,76,1012,3.61,light rain
Bengaluru,2026-09-14 03:00:00,23.7,63,1014,3.37,overcast clouds
Bengaluru,2026-09-14 06:00:00,28.66,42,1012,4.08,overcast clouds
Bengaluru,2026-09-14 09:00:00,31.18,35,1008,4.09,scattered clouds
Bengaluru,2026-09-14 12:00:00,30.33,36,1008,3.3,broken clouds
Bengaluru,2026-09-14 15:00:00,27.84,40,1010,2.81,clear sky
Bengaluru,2026-09-14 18:00:00,24.29,65,1012,4.46,light rain
Bengaluru,2026-09-14 21:00:00,22.61,69,1011,4.02,light rain
Bengaluru,2026-09-15 00:00:00,22.14,68,1013,3.53,overcast clouds
Bengaluru,2026-09-15 03:00:00,22.89,66,1015,4.6,broken clouds
Bengaluru,2026-09-15 06:00:00,28.61,43,1013,3.74,broken clouds
Bengaluru,2026-09-15 09:00:00,31.36,35,1009,4.33,few clouds
Bengaluru,2026-09-15 12:00:00,30.87,34,1008,3.12,scattered clouds
Bengaluru,2026-09-15 15:00:00,27.59,43,1011,4.86,overcast clouds
